date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,9.89,15.67,5.04,37.82,0.0,2.79,285.0,1.0055,10.41,Cairo
2015-01-02,9.47,17.58,3.27,50.61,0.0,1.77,307.2,1.0072,12.23,Cairo
2015-01-03,9.08,16.73,3.47,41.4,0.01,2.76,286.9,1.0068000000000001,13.09,Cairo
2015-01-04,10.1,17.62,4.9,64.28,0.1,2.76,268.2,1.0056,11.56,Cairo
2015-01-05,10.97,17.23,5.42,65.41,0.01,5.1,219.5,1.0005,10.97,Cairo
2015-01-06,10.91,14.88,6.7,48.23,0.26,6.65,242.1,0.9989,10.51,Cairo
2015-01-07,7.76,11.75,4.86,62.54,2.97,6.17,256.5,1.0036,6.09,Cairo
2015-01-08,8.17,13.35,3.99,68.79,0.32,3.84,301.7,1.0103,7.08,Cairo
2015-01-09,8.56,13.2,4.3,64.7,0.34,4.2,320.4,1.0095999999999998,9.33,Cairo
2015-01-10,8.26,13.98,2.25,67.62,0.05,2.97,256.8,1.0081,10.76,Cairo
2015-01-11,9.9,14.72,6.77,83.9,0.78,2.52,248.5,1.0073999999999999,11.43,Cairo
2015-01-12,12.02,19.58,5.31,62.04,0.0,1.25,140.5,1.0079,14.4,Cairo
2015-01-13,12.05,18.4,7.49,58.63,0.01,2.75,223.8,1.0034999999999998,8.61,Cairo
2015-01-14,9.77,15.63,3.59,49.24,0.07,3.37,229.9,1.0037,11.76,Cairo
2015-01-15,11.64,17.74,7.96,66.61,0.12,2.98,262.6,1.0031,12.41,Cairo
2015-01-16,11.31,17.98,7.05,73.16,0.09,2.43,255.3,1.0049,11.85,Cairo
2015-01-17,11.08,18.27,6.2,76.3,0.18,2.35,313.9,1.0061,11.27,Cairo
2015-01-18,11.78,19.95,6.12,71.99,0.02,2.13,54.0,1.0090999999999999,14.21,Cairo
2015-01-19,12.05,20.89,7.15,69.43,0.06,2.29,82.5,1.0069,13.59,Cairo
2015-01-20,14.56,23.5,7.53,40.3,0.0,1.09,135.8,1.004,15.16,Cairo
2015-01-21,15.05,25.18,7.74,31.07,0.0,2.46,203.6,1.0042,15.09,Cairo
2015-01-22,17.68,26.63,12.89,25.48,0.0,1.96,80.2,1.0036,15.08,Cairo
2015-01-23,16.93,24.08,12.96,25.76,0.0,1.9,188.1,0.9993000000000001,12.49,Cairo
2015-01-24,14.81,22.45,8.86,38.38,0.0,1.54,351.8,0.9987999999999999,12.3,Cairo
2015-01-25,14.76,22.98,8.8,61.03,0.0,1.92,16.5,1.0002,12.94,Cairo
2015-01-26,14.72,19.24,11.23,67.05,0.0,3.27,44.4,1.0024,8.64,Cairo
2015-01-27,15.33,22.7,10.42,62.18,0.0,2.14,45.8,0.9987,12.17,Cairo
2015-01-28,11.93,18.48,5.73,47.89,0.0,2.19,276.8,0.9990000000000001,15.83,Cairo
2015-01-29,12.86,19.46,8.42,43.26,0.0,1.8,250.1,0.9978,15.43,Cairo
2015-01-30,11.01,18.49,5.33,44.67,0.0,3.23,239.4,1.0006,14.95,Cairo
2015-01-31,11.27,20.03,4.4,36.06,0.0,2.21,206.8,1.003,16.1,Cairo
