date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,-3.86,0.08,-7.51,97.51,1.69,3.3,271.8,0.9856,1.4,Moscow
2015-01-02,-0.49,0.35,-1.29,96.84,3.87,5.39,244.7,0.9754999999999999,1.19,Moscow
2015-01-03,-0.26,0.56,-1.83,94.64,0.72,7.13,244.0,0.9617,1.25,Moscow
2015-01-04,-1.82,-0.91,-5.54,95.05,3.23,5.64,246.9,0.9589,0.88,Moscow
2015-01-05,-13.37,-6.54,-19.04,92.38,1.38,4.8,340.7,0.9745,1.34,Moscow
2015-01-06,-24.31,-19.36,-26.73,96.26,0.08,4.46,341.0,0.9944,3.0,Moscow
2015-01-07,-22.78,-16.87,-29.62,99.22,0.1,2.53,318.5,1.0066,3.28,Moscow
2015-01-08,-15.3,-11.38,-18.61,96.05,1.61,5.33,247.3,0.9987,2.19,Moscow
2015-01-09,-10.28,-9.17,-11.68,97.01,8.3,4.61,204.5,0.975,1.68,Moscow
2015-01-10,-6.84,-3.32,-11.67,99.35,2.42,2.26,250.6,0.9669,1.47,Moscow
2015-01-11,-6.39,-0.19,-11.22,98.43,3.27,4.44,186.4,0.9606,1.44,Moscow
2015-01-12,-2.88,-1.0,-6.58,95.42,0.99,4.89,246.3,0.9659,2.23,Moscow
2015-01-13,-4.12,0.57,-10.94,95.76,3.98,5.79,250.2,0.9756,1.25,Moscow
2015-01-14,0.04,0.73,-1.53,95.94,2.3,4.95,240.7,0.9815,1.16,Moscow
2015-01-15,-0.48,0.46,-4.47,95.27,0.3,3.71,249.8,0.9878,1.41,Moscow
2015-01-16,-6.39,-4.95,-10.14,96.19,0.05,3.17,226.2,0.9968,1.87,Moscow
2015-01-17,-3.45,-2.81,-4.51,94.56,0.68,4.96,212.8,0.9934999999999999,1.95,Moscow
2015-01-18,-2.7,-1.02,-5.14,96.21,0.51,3.96,241.8,0.9912000000000001,1.33,Moscow
