date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,21.31,24.37,19.18,63.04,0.11,1.75,73.9,0.9964,15.39,Muscat
2015-01-02,21.79,24.72,19.85,46.39,0.0,1.2,62.3,0.9976999999999999,16.5,Muscat
2015-01-03,22.19,26.14,18.98,42.44,0.0,1.71,306.8,0.9967,16.39,Muscat
2015-01-04,22.4,27.26,18.12,46.4,0.0,2.08,130.4,0.9956999999999999,16.91,Muscat
2015-01-05,21.87,26.65,17.47,54.1,0.0,2.11,142.6,0.9962000000000001,16.4,Muscat
2015-01-06,22.64,26.3,20.4,59.73,0.0,1.7,336.6,0.9971,15.69,Muscat
2015-01-07,22.54,26.82,18.93,56.76,0.0,2.56,301.7,0.9958,16.9,Muscat
2015-01-08,23.08,27.68,19.74,55.74,0.0,1.95,331.2,0.9951000000000001,16.72,Muscat
2015-01-09,22.82,27.09,19.98,58.01,0.0,1.79,75.9,0.9952,16.5,Muscat
2015-01-10,22.7,28.12,18.01,51.57,0.0,3.13,147.3,0.9948,17.01,Muscat
2015-01-11,21.13,25.41,17.02,61.5,0.0,2.68,129.2,0.9975,16.25,Muscat
2015-01-12,21.32,23.85,18.85,67.23,0.0,3.81,309.8,0.9981,13.98,Muscat
2015-01-13,20.23,22.33,18.61,60.67,0.0,5.36,315.8,0.9990000000000001,11.66,Muscat
2015-01-14,20.25,23.75,17.39,47.38,0.0,2.85,351.5,0.9983,15.37,Muscat
2015-01-15,19.98,23.47,17.73,51.2,0.0,2.52,52.6,0.9987,16.92,Muscat
2015-01-16,19.91,23.74,17.17,55.54,0.0,2.26,109.5,0.9981,17.13,Muscat
2015-01-17,20.34,24.41,16.27,56.9,0.0,2.29,149.0,0.997,16.62,Muscat
2015-01-18,21.24,25.07,17.97,59.33,0.0,2.8,132.1,0.9952,16.15,Muscat
