date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,1.42,3.67,-1.24,68.59,0.0,7.01,250.5,1.0181,9.48,New_York
2015-01-02,2.81,4.72,1.64,74.61,0.0,5.48,278.9,1.023,7.55,New_York
2015-01-03,4.14,7.22,0.82,86.34,25.03,4.36,102.3,1.0291,2.24,New_York
2015-01-04,8.35,10.96,5.79,97.82,20.24,5.15,231.1,1.0095,2.35,New_York
2015-01-05,1.66,6.92,-3.83,68.2,0.0,7.76,292.5,1.0203,8.98,New_York
2015-01-06,-4.43,-3.54,-5.9,80.4,2.4,3.62,294.6,1.0229000000000001,4.0,New_York
2015-01-07,-5.17,-3.44,-9.82,78.45,0.07,8.2,297.1,1.0168000000000001,6.47,New_York
2015-01-08,-7.19,-4.55,-10.19,87.44,0.01,6.6,277.7,1.0272,9.15,New_York
2015-01-09,-1.42,1.08,-3.99,74.01,1.57,7.77,249.1,1.0181,6.82,New_York
2015-01-10,-5.13,-3.83,-6.51,78.55,0.0,5.9,285.1,1.0301,9.55,New_York
2015-01-11,-0.63,2.59,-5.44,71.71,0.0,4.45,236.6,1.035,6.41,New_York
2015-01-12,2.86,3.89,2.16,87.99,22.59,3.7,267.9,1.0239,2.07,New_York
2015-01-13,-2.43,2.14,-5.0,81.68,1.22,6.69,9.7,1.0316,10.11,New_York
2015-01-14,-1.95,0.65,-4.89,90.55,0.07,5.09,37.3,1.0268000000000002,5.39,New_York
2015-01-15,-1.49,0.41,-3.66,82.09,0.01,4.32,305.2,1.0176,7.26,New_York
2015-01-16,-0.37,3.63,-5.41,77.97,0.08,7.03,292.0,1.0137,7.64,New_York
2015-01-17,-3.81,0.45,-6.94,73.24,0.0,3.87,280.2,1.0263,10.56,New_York
2015-01-18,4.28,7.33,0.73,96.46,57.79,4.59,206.5,1.0124,1.85,New_York
2015-01-19,2.48,4.65,1.1,85.17,0.03,6.05,279.9,1.0093,6.66,New_York
2015-01-20,1.52,3.0,-0.32,77.76,0.69,3.92,306.7,1.0133,7.49,New_York
2015-01-21,-0.78,0.94,-3.35,72.47,1.32,3.28,29.2,1.0195999999999998,5.33,New_York
2015-01-22,0.71,2.72,-0.98,80.16,0.1,3.34,319.4,1.0227,5.97,New_York
2015-01-23,0.03,2.24,-2.97,75.75,0.89,3.5,270.8,1.0226,10.82,New_York
2015-01-24,1.26,2.11,-0.28,95.02,36.98,5.62,345.9,0.9987999999999999,3.06,New_York
2015-01-25,0.83,3.46,-1.7,81.01,0.03,5.72,300.8,1.0078,6.66,New_York
2015-01-26,-1.74,-1.17,-2.62,89.71,11.97,8.35,43.1,1.0108,2.97,New_York
2015-01-27,-4.15,-2.76,-5.51,90.93,6.67,8.84,346.2,1.0045,4.83,New_York
2015-01-28,-5.18,-1.77,-7.92,85.43,0.01,6.31,333.8,1.0176,9.45,New_York
2015-01-29,-3.27,1.78,-9.03,79.35,0.23,3.55,106.3,1.022,6.06,New_York
2015-01-30,-0.44,1.77,-6.4,85.83,1.62,6.95,304.2,1.0115,5.88,New_York
2015-01-31,-7.24,-4.94,-9.74,88.85,0.0,8.42,316.3,1.0194,10.35,New_York
2015-02-01,-1.63,1.2,-6.92,82.67,1.19,3.5,275.2,1.0206,5.65,New_York
2015-02-02,-0.43,3.97,-9.18,95.6,50.99,6.36,317.3,1.0017,2.36,New_York
2015-02-03,-6.82,-4.13,-10.2,87.17,0.0,5.06,297.2,1.0231000000000001,11.98,New_York
2015-02-04,0.56,3.4,-5.04,81.75,0.01,4.46,209.3,1.0203,7.31,New_York
2015-02-05,-2.83,2.71,-9.42,86.05,0.52,7.55,325.6,1.0158,10.33,New_York
2015-02-06,-6.65,-3.02,-10.51,84.51,0.01,5.25,291.9,1.0224,8.47,New_York
2015-02-07,-0.85,2.3,-5.02,78.91,0.11,3.44,245.8,1.0184,6.57,New_York
2015-02-08,2.3,3.73,0.31,95.17,0.42,3.45,76.6,1.0116,5.75,New_York
2015-02-09,-1.68,-0.22,-3.34,96.25,2.4,7.26,38.7,1.0131999999999999,4.05,New_York
2015-02-10,-1.58,0.94,-4.13,90.02,0.49,7.24,18.6,1.0154,9.19,New_York
2015-02-11,-3.19,-1.42,-5.95,79.23,0.0,5.15,28.1,1.0156,13.36,New_York
2015-02-12,-1.04,2.39,-7.34,81.29,0.81,5.09,288.2,1.0089,6.96,New_York
2015-02-13,-8.86,-6.91,-11.03,85.78,0.01,7.17,315.3,1.0193,14.87,New_York
2015-02-14,-2.8,0.23,-7.92,78.77,5.45,4.58,213.9,1.0072,3.91,New_York
2015-02-15,-9.27,-3.61,-12.81,90.68,2.21,11.24,314.2,1.0085,12.42,New_York
2015-02-16,-9.9,-7.14,-13.73,87.75,0.1,6.58,312.5,1.0206,11.28,New_York
2015-02-17,-5.5,-4.26,-7.4,85.73,3.44,3.94,9.3,1.0124,10.75,New_York
2015-02-18,-3.84,-1.41,-7.04,75.28,0.04,2.68,278.0,1.0097,12.58,New_York
2015-02-19,-7.17,-2.69,-10.98,83.26,0.29,8.55,292.9,1.0099,13.52,New_York
2015-02-20,-10.77,-7.57,-14.43,91.95,0.03,7.24,293.5,1.0244,15.28,New_York
2015-02-21,-3.47,0.7,-9.08,83.45,20.66,5.41,212.2,1.0281,4.5,New_York
2015-02-22,0.97,2.0,0.53,90.96,12.96,2.3,275.1,1.0208,11.37,New_York
