date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,-0.12,4.48,-2.82,89.94,0.01,2.57,206.8,1.0241,4.64,Paris
2015-01-02,2.07,7.53,-1.07,97.22,1.14,3.04,234.1,1.0215,1.63,Paris
2015-01-03,5.33,11.51,-1.36,97.0,7.28,4.68,246.1,1.0138,1.12,Paris
2015-01-04,1.1,5.38,-2.34,94.36,0.24,1.52,75.6,1.0232999999999999,3.17,Paris
2015-01-05,-1.01,2.2,-2.83,96.84,0.12,2.02,166.9,1.0206,2.73,Paris
2015-01-06,-0.43,2.31,-3.41,96.18,0.16,2.57,220.1,1.0134999999999998,2.07,Paris
2015-01-07,1.72,4.16,-0.55,96.78,0.11,2.1,204.9,1.0176,1.95,Paris
2015-01-08,6.46,9.87,3.81,95.91,7.19,4.72,228.1,1.016,1.77,Paris
2015-01-09,9.84,12.86,5.19,93.11,2.01,6.72,238.1,1.0156999999999998,1.82,Paris
2015-01-10,9.97,12.46,4.34,89.77,1.07,6.07,254.2,1.0098,2.16,Paris
2015-01-11,4.92,7.8,3.27,84.91,0.34,4.7,262.1,1.0143,4.81,Paris
2015-01-12,5.55,6.88,4.23,88.35,0.13,6.41,215.8,1.0101,2.78,Paris
2015-01-13,6.54,8.84,4.53,89.83,2.58,6.31,212.5,0.9992,2.14,Paris
2015-01-14,5.24,7.37,2.89,88.82,3.45,5.64,221.6,1.0012999999999999,3.5,Paris
2015-01-15,6.91,8.49,5.22,91.45,4.29,6.62,202.8,0.9913,2.51,Paris
2015-01-16,4.36,7.18,2.54,93.75,1.17,1.96,215.7,0.9956,3.78,Paris
2015-01-17,1.37,5.18,-1.03,92.55,0.34,2.48,240.1,1.0048000000000001,3.28,Paris
2015-01-18,1.81,6.08,-0.24,87.52,0.75,3.49,177.6,1.0012,5.77,Paris
2015-01-19,0.01,2.52,-1.64,94.37,1.09,1.34,13.4,1.0004,2.35,Paris
2015-01-20,-0.04,3.35,-1.71,88.83,0.02,1.21,130.5,1.0008,3.81,Paris
2015-01-21,-0.85,3.77,-3.01,92.63,0.02,2.46,124.3,0.9976,3.97,Paris
2015-01-22,-0.63,3.0,-2.92,93.36,0.06,2.57,20.7,1.0053,3.68,Paris
2015-01-23,-1.51,2.56,-3.96,90.92,0.04,1.47,349.9,1.0138,4.2,Paris
2015-01-24,0.16,5.23,-2.93,93.24,3.55,3.76,299.3,1.0142,4.54,Paris
2015-01-25,1.21,6.36,-2.04,92.69,0.12,1.67,296.8,1.02,4.28,Paris
2015-01-26,4.06,7.51,1.54,97.7,2.46,3.18,274.1,1.0131999999999999,1.63,Paris
2015-01-27,2.85,7.17,0.74,94.29,0.11,2.16,312.1,1.0149,4.88,Paris
2015-01-28,3.74,7.38,1.64,92.46,2.94,4.74,241.2,1.0011,1.92,Paris
2015-01-29,2.86,4.37,0.31,94.06,5.05,5.02,239.1,0.9784999999999999,2.05,Paris
2015-01-30,0.87,4.35,-2.15,93.48,5.02,4.19,271.4,0.9687,2.87,Paris
2015-01-31,1.84,5.06,0.17,93.91,3.48,3.31,275.4,0.9732999999999999,5.92,Paris
2015-02-01,1.51,3.82,-1.13,92.81,2.6,4.8,299.5,0.9859,2.76,Paris
