date,temperature_c,temperature_max_c,temperature_min_c,humidity_percent,precipitation_mm,wind_speed_ms,wind_direction_deg,pressure_hpa,solar_irradiance,city
2015-01-01,13.54,21.79,8.03,41.54,0.0,1.42,34.2,0.9494,17.02,Riyadh
2015-01-02,13.87,23.57,6.54,30.74,0.0,1.67,174.6,0.9490000000000001,17.56,Riyadh
2015-01-03,15.4,26.05,7.47,28.13,0.0,2.16,215.5,0.9472,17.34,Riyadh
2015-01-04,16.25,27.0,9.27,20.92,0.0,3.04,228.3,0.9444,17.47,Riyadh
2015-01-05,13.69,22.06,7.5,37.78,0.0,2.23,50.6,0.9462999999999999,16.27,Riyadh
2015-01-06,14.0,24.09,6.34,52.41,0.0,2.9,151.8,0.9477,16.8,Riyadh
2015-01-07,17.05,26.88,9.29,34.61,0.0,2.98,199.5,0.9464,16.02,Riyadh
2015-01-08,15.07,21.15,7.9,29.6,0.0,4.49,323.2,0.9481,15.21,Riyadh
2015-01-09,10.84,17.79,4.4,29.47,0.0,2.67,112.4,0.9473,12.88,Riyadh
2015-01-10,12.49,19.53,6.27,29.06,0.0,3.57,277.8,0.9456,14.78,Riyadh
2015-01-11,8.12,16.09,1.18,31.29,0.0,2.54,352.0,0.9512999999999999,16.41,Riyadh
2015-01-12,8.23,16.79,1.54,30.42,0.0,2.51,22.9,0.9543,15.52,Riyadh
2015-01-13,7.92,16.69,0.7,30.29,0.0,1.85,22.5,0.9543,15.63,Riyadh
2015-01-14,11.86,19.88,5.88,21.48,0.0,1.3,65.3,0.9520000000000001,14.84,Riyadh
2015-01-15,14.14,22.34,7.38,17.07,0.0,2.12,158.3,0.9489,15.4,Riyadh
2015-01-16,15.82,24.68,10.28,24.28,0.0,2.18,179.2,0.9469,15.71,Riyadh
2015-01-17,14.87,23.17,9.81,34.32,0.0,1.75,63.3,0.9465,15.2,Riyadh
2015-01-18,10.92,16.07,6.48,70.21,0.54,2.87,37.4,0.948,9.57,Riyadh
2015-01-19,8.65,16.15,3.49,47.92,0.0,3.56,329.1,0.9493,18.39,Riyadh
2015-01-20,8.21,17.53,1.09,28.62,0.0,2.77,319.7,0.9501000000000001,19.64,Riyadh
2015-01-21,9.66,19.52,1.81,25.2,0.0,2.22,349.4,0.9526,19.26,Riyadh
2015-01-22,12.29,20.85,4.96,22.24,0.0,1.18,278.0,0.9521,19.38,Riyadh
2015-01-23,13.73,23.17,4.07,16.89,0.0,1.92,244.3,0.9488,19.01,Riyadh
2015-01-24,13.97,24.19,5.47,14.23,0.0,1.94,312.8,0.9484,18.75,Riyadh
2015-01-25,14.08,22.94,8.77,15.73,0.0,1.85,135.5,0.9512999999999999,18.77,Riyadh
2015-01-26,13.67,23.92,6.08,17.68,0.0,2.76,170.4,0.9508,18.9,Riyadh
2015-01-27,14.83,26.63,6.57,20.62,0.0,3.03,192.0,0.9479000000000001,19.6,Riyadh
2015-01-28,15.89,27.42,7.65,19.52,0.0,3.27,197.4,0.945,19.56,Riyadh
2015-01-29,17.86,29.29,9.17,22.99,0.0,3.56,199.8,0.9440999999999999,19.38,Riyadh
2015-01-30,20.52,32.19,12.35,24.12,0.0,3.66,200.8,0.9451,19.08,Riyadh
2015-01-31,19.77,29.25,12.81,29.18,0.0,3.13,315.7,0.9468000000000001,18.89,Riyadh
2015-02-01,16.99,25.59,10.89,42.05,0.0,2.28,31.1,0.9490000000000001,17.43,Riyadh
2015-02-02,16.66,26.13,9.49,27.7,0.0,1.26,62.5,0.9479000000000001,18.81,Riyadh
2015-02-03,18.89,28.9,10.65,24.17,0.0,3.06,193.6,0.9468000000000001,19.16,Riyadh
2015-02-04,20.97,30.03,12.98,19.54,0.0,2.14,214.1,0.9467,18.83,Riyadh
2015-02-05,18.05,26.83,11.84,20.34,0.0,2.32,60.5,0.9484999999999999,19.4,Riyadh
